"""Location",River,Code,Longitude,Latitude,Capacity (acre-feet),Drainage area (square miles),Year completed,Type,Owner,Source Page,"""Reservoir",Creek/River,Lat,Long,Area,Volume,Year Built,"""State",Lake/River,Year,Entity,Name of Reservoir,Stream and Station No.,Basin Index and Latitude,Drainage Area (Square Miles),Storage in Acre-Feet,Usable,Use,Storage Records Published,"""Name of reservoir",Location and Basin,stream index and station no,Surface area (acres),Storage in acre-feet,Related River,Authority,Stream Index and Station No,Latitude and Longitude,Drainage Area (square miles),Dead Storage in acre feet,Total Storage in acre feet,Usable Storage in acre feet,Storage Ratio,Year Completed,Operator,Location,Reservoir Name,Stream,Basin Index and Station No,Square Miles,Usable Storage,Water Source,Coordinates,Drainage Basin,Index and ant stream station no,Date completed,Owner or operator,Storage records published,Basin Code,Surface (acres)
,,06-8539 00,,,,,,,,32,,,,,,,,Kansas,White Rock Creek and diversion,1937,Shawnee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7ED,,,,,,,,32,,,,,,,,Kansas,Lowell (Riverton),1960,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07-1875 80,,,,,,,,32,,,,,,,,Kansas,Spring River and Shoal Creek,1962,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TED,,,,,,,,32,,,,,,,,Kansas,Parsons,1956,Bureau of Reclamation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07-1844 80,,,,,,,,32,,,,,,,,Kansas,Labette Creek,1941,Wyandotte County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6RT,,,,,,,,32,,,,,,,,Kansas,Shawnee Lake,1960,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-8896 00,,,,,,,,32,,,,,,,,Kansas,Deer Creek,1949,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7EB,,,,,,,,32,,,,,,,,Kansas,Toronto,1925,Kentucky Utilities Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07-1659 00,,,,,,,,32,,,,,,,,Kansas,Verdigris River,1944,Tennessee Valley Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6RS,,,,,,,,32,,,,,,,,Kansas,Tuttle Creek,1950,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-8869 00,,,,,,,,32,,,,,,,,Kansas,Big Blue River,1958,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6RE,,,,,,,,32,,,,,,,,Kansas,Webster,1951,Anacoco Prairie Game and Pish Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-8731 00,,,,,,,,32,,,,,,,,Kansas,South Fork Solomon River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6PE,,,,,,,,32,,,,,,,,Kansas,Wyandotte County Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
